iteration,fitness
0,140.6859893798828
1,65.5595703125
2,54.503692626953125
3,54.272621154785156
4,53.13018035888672
5,52.859535217285156
6,50.769630432128906
7,50.212196350097656
8,50.212196350097656
9,50.212196350097656
10,50.212196350097656
11,49.79132843017578
12,49.79132843017578
13,49.774078369140625
14,49.696739196777344
15,49.696739196777344
16,49.668556213378906
17,49.668556213378906
18,49.66374969482422
19,49.65769577026367
20,49.65769577026367
21,49.655853271484375
22,49.64996337890625
23,49.64996337890625
24,49.64996337890625
25,49.64961624145508
26,49.64836883544922
27,49.646888732910156
28,49.64659881591797
29,49.64387512207031
