iteration,fitness
0,627.0576171875
1,596.9937133789062
2,596.9937133789062
3,596.9937133789062
4,596.9937133789062
5,549.4931640625
6,549.4931640625
7,549.4931640625
8,529.16552734375
9,465.8009033203125
10,465.8009033203125
11,465.8009033203125
12,465.8009033203125
13,465.8009033203125
14,465.8009033203125
15,465.8009033203125
16,465.8009033203125
17,465.8009033203125
18,465.8009033203125
19,465.8009033203125
20,465.8009033203125
21,465.8009033203125
22,392.356201171875
23,392.356201171875
24,392.356201171875
25,392.356201171875
26,392.356201171875
27,392.356201171875
28,392.356201171875
29,392.356201171875
30,392.356201171875
31,392.356201171875
32,392.356201171875
33,392.356201171875
34,392.356201171875
35,392.356201171875
36,392.356201171875
37,392.356201171875
38,392.356201171875
39,392.356201171875
40,392.356201171875
41,392.356201171875
42,392.356201171875
43,392.356201171875
44,392.356201171875
45,392.356201171875
46,392.356201171875
47,392.356201171875
48,392.356201171875
49,392.356201171875
50,392.356201171875
51,392.356201171875
52,392.356201171875
53,392.356201171875
54,392.356201171875
55,392.356201171875
56,392.356201171875
57,392.356201171875
58,392.356201171875
59,392.356201171875
60,392.356201171875
61,392.356201171875
62,392.356201171875
63,392.356201171875
64,392.356201171875
65,392.356201171875
66,392.356201171875
67,392.356201171875
68,392.356201171875
69,392.356201171875
70,392.356201171875
71,392.356201171875
72,392.356201171875
73,392.356201171875
74,392.356201171875
75,392.356201171875
76,392.356201171875
77,392.356201171875
78,392.356201171875
79,392.356201171875
80,392.356201171875
81,392.356201171875
82,392.356201171875
83,392.356201171875
84,392.356201171875
85,392.356201171875
86,392.356201171875
87,392.356201171875
88,392.356201171875
89,392.356201171875
90,392.356201171875
91,392.356201171875
92,392.356201171875
93,392.356201171875
94,392.356201171875
95,392.356201171875
96,392.356201171875
97,392.356201171875
98,392.356201171875
99,392.356201171875
100,392.356201171875
101,392.356201171875
102,392.356201171875
103,392.356201171875
104,392.356201171875
105,392.356201171875
106,392.356201171875
107,392.356201171875
108,392.356201171875
109,392.356201171875
110,392.356201171875
111,392.356201171875
112,392.356201171875
113,392.356201171875
114,392.356201171875
115,392.356201171875
116,392.356201171875
117,392.356201171875
118,392.356201171875
119,392.356201171875
120,392.356201171875
121,392.356201171875
122,392.356201171875
123,392.356201171875
124,392.356201171875
125,392.356201171875
126,392.356201171875
127,392.356201171875
128,392.356201171875
129,392.356201171875
130,392.356201171875
131,392.356201171875
132,392.356201171875
133,392.356201171875
134,392.356201171875
135,392.356201171875
136,392.356201171875
137,392.356201171875
138,392.356201171875
139,392.356201171875
140,392.356201171875
141,392.356201171875
142,392.356201171875
143,392.356201171875
144,392.356201171875
145,392.356201171875
146,392.356201171875
147,392.356201171875
148,392.356201171875
149,392.356201171875
150,392.356201171875
151,392.356201171875
152,392.356201171875
153,392.356201171875
154,392.356201171875
155,392.356201171875
156,392.356201171875
157,392.356201171875
158,392.356201171875
159,392.356201171875
160,392.356201171875
161,392.356201171875
162,392.356201171875
163,392.356201171875
164,392.356201171875
165,392.356201171875
166,392.356201171875
167,392.356201171875
168,392.356201171875
169,392.356201171875
170,392.356201171875
171,392.356201171875
172,392.356201171875
173,392.356201171875
174,392.356201171875
175,392.356201171875
176,392.356201171875
177,392.356201171875
178,392.356201171875
179,392.356201171875
180,392.356201171875
181,392.356201171875
182,392.356201171875
183,392.356201171875
184,392.356201171875
185,392.356201171875
186,392.356201171875
187,392.356201171875
188,392.356201171875
189,392.356201171875
190,392.356201171875
191,392.356201171875
192,392.356201171875
193,392.356201171875
194,392.356201171875
195,392.356201171875
196,392.356201171875
197,392.356201171875
198,392.356201171875
199,392.356201171875
200,392.356201171875
201,392.356201171875
202,392.356201171875
203,392.356201171875
204,392.356201171875
205,392.356201171875
206,392.356201171875
207,392.356201171875
208,392.356201171875
209,392.356201171875
210,392.356201171875
211,392.356201171875
212,392.356201171875
213,392.356201171875
214,392.356201171875
215,392.356201171875
216,392.356201171875
217,392.356201171875
218,392.356201171875
219,392.356201171875
220,392.356201171875
221,392.356201171875
222,392.356201171875
223,392.356201171875
224,392.356201171875
225,392.356201171875
226,392.356201171875
227,392.356201171875
228,392.356201171875
229,392.356201171875
230,392.356201171875
231,392.356201171875
232,392.356201171875
233,392.356201171875
234,392.356201171875
235,392.356201171875
236,392.356201171875
237,392.356201171875
238,392.356201171875
239,392.356201171875
240,392.356201171875
241,392.356201171875
242,392.356201171875
243,392.356201171875
244,392.356201171875
245,392.356201171875
246,392.356201171875
247,392.356201171875
248,392.356201171875
249,392.356201171875
250,392.356201171875
251,392.356201171875
252,392.356201171875
253,392.356201171875
254,392.356201171875
255,392.356201171875
256,392.356201171875
257,392.356201171875
258,392.356201171875
259,392.356201171875
260,392.356201171875
261,392.356201171875
262,392.356201171875
263,392.356201171875
264,392.356201171875
265,392.356201171875
266,392.356201171875
267,392.356201171875
268,392.356201171875
269,392.356201171875
270,392.356201171875
271,392.356201171875
272,392.356201171875
273,392.356201171875
274,392.356201171875
275,392.356201171875
276,392.356201171875
277,392.356201171875
278,392.356201171875
279,392.356201171875
280,392.356201171875
281,392.356201171875
282,392.356201171875
283,392.356201171875
284,392.356201171875
285,392.356201171875
286,392.356201171875
287,392.356201171875
288,392.356201171875
289,392.356201171875
290,392.356201171875
291,392.356201171875
292,392.356201171875
293,392.356201171875
294,392.356201171875
295,392.356201171875
296,392.356201171875
297,392.356201171875
298,392.356201171875
299,392.356201171875
300,392.356201171875
301,392.356201171875
302,392.356201171875
303,392.356201171875
304,392.356201171875
305,392.356201171875
306,392.356201171875
307,392.356201171875
308,392.356201171875
309,392.356201171875
310,392.356201171875
311,392.356201171875
312,392.356201171875
313,392.356201171875
314,392.356201171875
315,392.356201171875
316,392.356201171875
317,392.356201171875
318,392.356201171875
319,392.356201171875
320,392.356201171875
321,392.356201171875
322,392.356201171875
323,392.356201171875
324,392.356201171875
325,392.356201171875
326,392.356201171875
327,392.356201171875
328,392.356201171875
329,392.356201171875
330,392.356201171875
331,392.356201171875
332,392.356201171875
333,392.356201171875
334,392.356201171875
335,392.356201171875
336,392.356201171875
337,392.356201171875
338,392.356201171875
339,392.356201171875
340,392.356201171875
341,392.356201171875
342,392.356201171875
343,392.356201171875
344,392.356201171875
345,392.356201171875
346,392.356201171875
347,392.356201171875
348,392.356201171875
349,392.356201171875
350,392.356201171875
351,392.356201171875
352,392.356201171875
353,392.356201171875
354,392.356201171875
355,392.356201171875
356,392.356201171875
357,392.356201171875
358,392.356201171875
359,392.356201171875
360,392.356201171875
361,392.356201171875
362,392.356201171875
363,392.356201171875
364,392.356201171875
365,392.356201171875
366,392.356201171875
367,392.356201171875
368,392.356201171875
369,392.356201171875
370,392.356201171875
371,392.356201171875
372,392.356201171875
373,392.356201171875
374,392.356201171875
375,392.356201171875
376,392.356201171875
377,392.356201171875
378,392.356201171875
379,392.356201171875
380,392.356201171875
381,392.356201171875
382,392.356201171875
383,392.356201171875
384,392.356201171875
385,392.356201171875
386,392.356201171875
387,392.356201171875
388,392.356201171875
389,392.356201171875
390,392.356201171875
391,392.356201171875
392,392.356201171875
393,392.356201171875
394,392.356201171875
395,392.356201171875
396,392.356201171875
397,392.356201171875
398,392.356201171875
399,392.356201171875
400,392.356201171875
401,392.356201171875
402,392.356201171875
403,392.356201171875
404,392.356201171875
405,392.356201171875
406,392.356201171875
407,392.356201171875
408,392.356201171875
409,392.356201171875
410,392.356201171875
411,392.356201171875
412,392.356201171875
413,392.356201171875
414,392.356201171875
415,392.356201171875
416,392.356201171875
417,392.356201171875
418,392.356201171875
419,392.356201171875
420,392.356201171875
421,392.356201171875
422,392.356201171875
423,392.356201171875
424,392.356201171875
425,392.356201171875
426,392.356201171875
427,392.356201171875
428,392.356201171875
429,392.356201171875
430,392.356201171875
431,392.356201171875
432,392.356201171875
433,392.356201171875
434,392.356201171875
435,392.356201171875
436,392.356201171875
437,392.356201171875
438,392.356201171875
439,392.356201171875
440,392.356201171875
441,392.356201171875
442,392.356201171875
443,392.356201171875
444,392.356201171875
445,392.356201171875
446,392.356201171875
447,392.356201171875
448,392.356201171875
449,392.356201171875
450,392.356201171875
451,392.356201171875
452,392.356201171875
453,392.356201171875
454,392.356201171875
455,392.356201171875
456,392.356201171875
457,392.356201171875
458,392.356201171875
459,392.356201171875
460,392.356201171875
461,392.356201171875
462,392.356201171875
463,392.356201171875
464,392.356201171875
465,392.356201171875
466,392.356201171875
467,392.356201171875
468,392.356201171875
469,392.356201171875
470,392.356201171875
471,392.356201171875
472,392.356201171875
473,392.356201171875
474,392.356201171875
475,392.356201171875
476,392.356201171875
477,392.356201171875
478,392.356201171875
479,392.356201171875
480,392.356201171875
481,392.356201171875
482,392.356201171875
483,392.356201171875
484,392.356201171875
485,392.356201171875
486,392.356201171875
487,392.356201171875
488,392.356201171875
489,392.356201171875
490,392.356201171875
491,392.356201171875
492,392.356201171875
493,392.356201171875
494,392.356201171875
495,392.356201171875
496,392.356201171875
497,392.356201171875
498,392.356201171875
499,392.356201171875
500,392.356201171875
501,392.356201171875
502,392.356201171875
503,392.356201171875
504,392.356201171875
505,392.356201171875
506,392.356201171875
507,392.356201171875
508,392.356201171875
509,392.356201171875
510,392.356201171875
511,392.356201171875
512,392.356201171875
513,392.356201171875
514,392.356201171875
515,392.356201171875
516,392.356201171875
517,392.356201171875
518,392.356201171875
519,392.356201171875
520,392.356201171875
521,392.356201171875
522,392.356201171875
523,392.356201171875
524,392.356201171875
525,392.356201171875
526,392.356201171875
527,392.356201171875
528,392.356201171875
529,392.356201171875
530,392.356201171875
531,392.356201171875
532,392.356201171875
533,392.356201171875
534,392.356201171875
535,392.356201171875
536,392.356201171875
537,392.356201171875
538,392.356201171875
539,392.356201171875
540,392.356201171875
541,392.356201171875
542,392.356201171875
543,392.356201171875
544,392.356201171875
545,392.356201171875
546,392.356201171875
547,392.356201171875
548,392.356201171875
549,392.356201171875
550,392.356201171875
551,392.356201171875
552,392.356201171875
553,392.356201171875
554,392.356201171875
555,392.356201171875
556,392.356201171875
557,392.356201171875
558,392.356201171875
559,392.356201171875
560,392.356201171875
561,392.356201171875
562,392.356201171875
563,392.356201171875
564,392.356201171875
565,392.356201171875
566,392.356201171875
567,392.356201171875
568,392.356201171875
569,392.356201171875
570,392.356201171875
571,392.356201171875
572,392.356201171875
573,392.356201171875
574,392.356201171875
575,392.356201171875
576,392.356201171875
577,392.356201171875
578,392.356201171875
579,392.356201171875
580,392.356201171875
581,392.356201171875
582,392.356201171875
583,392.356201171875
584,392.356201171875
585,392.356201171875
586,392.356201171875
587,392.356201171875
588,392.356201171875
589,392.356201171875
590,392.356201171875
591,392.356201171875
592,392.356201171875
593,392.356201171875
594,392.356201171875
595,392.356201171875
596,392.356201171875
597,392.356201171875
598,392.356201171875
599,392.356201171875
600,392.356201171875
601,392.356201171875
602,392.356201171875
603,392.356201171875
604,392.356201171875
605,392.356201171875
606,392.356201171875
607,392.356201171875
608,392.356201171875
609,392.356201171875
610,392.356201171875
611,392.356201171875
612,392.356201171875
613,392.356201171875
614,392.356201171875
615,392.356201171875
616,392.356201171875
617,392.356201171875
618,392.356201171875
619,392.356201171875
620,392.356201171875
621,392.356201171875
622,392.356201171875
623,392.356201171875
624,392.356201171875
625,392.356201171875
626,392.356201171875
627,392.356201171875
628,392.356201171875
629,392.356201171875
630,392.356201171875
631,392.356201171875
632,392.356201171875
633,392.356201171875
634,392.356201171875
635,392.356201171875
636,392.356201171875
637,392.356201171875
638,392.356201171875
639,392.356201171875
640,392.356201171875
641,392.356201171875
642,392.356201171875
643,392.356201171875
644,392.356201171875
645,392.356201171875
646,392.356201171875
647,392.356201171875
648,392.356201171875
649,392.356201171875
650,392.356201171875
651,392.356201171875
652,392.356201171875
653,392.356201171875
654,392.356201171875
655,392.356201171875
656,392.356201171875
657,392.356201171875
658,392.356201171875
659,392.356201171875
660,392.356201171875
661,392.356201171875
662,392.356201171875
663,392.356201171875
664,392.356201171875
665,392.356201171875
666,392.356201171875
667,392.356201171875
668,392.356201171875
669,392.356201171875
670,392.356201171875
671,392.356201171875
672,392.356201171875
673,392.356201171875
674,392.356201171875
675,392.356201171875
676,392.356201171875
677,392.356201171875
678,392.356201171875
679,392.356201171875
680,392.356201171875
681,392.356201171875
682,392.356201171875
683,392.356201171875
684,392.356201171875
685,392.356201171875
686,392.356201171875
687,392.356201171875
688,392.356201171875
689,392.356201171875
690,392.356201171875
691,392.356201171875
