iteration,fitness
0,10040.376953125
1,10040.376953125
2,10040.376953125
3,10040.376953125
4,10040.376953125
5,10040.376953125
6,10040.376953125
7,10039.318359375
8,10039.318359375
9,10039.318359375
10,10039.181640625
11,10037.78125
12,10036.66015625
13,10036.66015625
14,10036.66015625
15,10036.619140625
16,10036.0029296875
17,10036.0029296875
18,10036.0029296875
19,10035.513671875
20,10035.513671875
21,10035.513671875
22,10035.0703125
23,10034.6337890625
24,10034.6337890625
25,10034.3779296875
26,10034.3779296875
27,10034.15234375
28,10034.15234375
29,10033.5224609375
30,10033.5224609375
31,10033.5224609375
32,10033.5224609375
33,10033.5224609375
34,10033.5224609375
35,10033.5224609375
36,10033.5224609375
37,10033.5224609375
38,10033.3359375
39,10033.3359375
40,10032.9189453125
41,10032.8359375
42,10032.8359375
43,10032.8359375
44,10032.8359375
45,10032.7763671875
46,10032.7763671875
47,10032.755859375
48,10032.703125
49,10032.673828125
50,10032.673828125
51,10032.5712890625
52,10032.3935546875
53,10032.3935546875
54,10032.373046875
55,10032.310546875
56,10032.126953125
57,10032.126953125
58,10032.091796875
59,10031.8720703125
60,10031.8720703125
61,10031.787109375
62,10031.7138671875
63,10031.611328125
64,10031.611328125
65,10031.5556640625
66,10031.5556640625
67,10031.501953125
68,10031.43359375
69,10031.3896484375
70,10031.2861328125
71,10031.2861328125
72,10031.1591796875
73,10031.1591796875
74,10031.1015625
75,10031.1015625
76,10031.0478515625
77,10030.9267578125
78,10030.9267578125
79,10030.9013671875
80,10030.8671875
81,10030.8671875
82,10030.8037109375
83,10030.796875
84,10030.7578125
85,10030.6962890625
86,10030.6962890625
87,10030.6630859375
88,10030.65625
89,10030.5869140625
90,10030.50390625
91,10030.50390625
92,10030.453125
93,10030.453125
94,10030.447265625
95,10030.447265625
96,10030.443359375
97,10030.443359375
98,10030.443359375
99,10030.4169921875
100,10030.4169921875
101,10030.4169921875
102,10030.4169921875
103,10030.4169921875
104,10030.4169921875
105,10030.4169921875
106,10030.4169921875
107,10030.4169921875
108,10030.4091796875
109,10030.408203125
110,10030.408203125
111,10030.408203125
112,10030.408203125
113,10030.40234375
114,10030.40234375
115,10030.400390625
116,10030.400390625
117,10030.400390625
118,10030.400390625
119,10030.400390625
120,10030.400390625
121,10030.3935546875
122,10030.3828125
123,10030.3828125
124,10030.3828125
125,10030.3720703125
126,10030.3720703125
127,10030.3720703125
128,10030.3720703125
129,10030.3720703125
130,10030.3681640625
131,10030.3662109375
132,10030.359375
133,10030.3583984375
134,10030.3583984375
135,10030.353515625
136,10030.353515625
137,10030.353515625
138,10030.353515625
139,10030.349609375
140,10030.349609375
141,10030.3466796875
142,10030.3466796875
143,10030.3466796875
144,10030.3466796875
145,10030.3466796875
146,10030.3447265625
147,10030.3447265625
148,10030.3447265625
149,10030.3447265625
150,10030.3408203125
151,10030.3408203125
152,10030.3408203125
153,10030.3408203125
154,10030.33984375
155,10030.3388671875
156,10030.3388671875
157,10030.3388671875
158,10030.3388671875
159,10030.3388671875
160,10030.3388671875
161,10030.3388671875
162,10030.337890625
163,10030.337890625
164,10030.3369140625
165,10030.3369140625
166,10030.3369140625
167,10030.3369140625
168,10030.333984375
169,10030.333984375
170,10030.333984375
171,10030.333984375
172,10030.333984375
173,10030.333984375
174,10030.333984375
175,10030.333984375
176,10030.333984375
177,10030.333984375
178,10030.333984375
179,10030.333984375
180,10030.333984375
181,10030.333984375
182,10030.333984375
183,10030.333984375
184,10030.333984375
185,10030.333984375
186,10030.333984375
187,10030.333984375
188,10030.333984375
189,10030.3330078125
190,10030.33203125
191,10030.33203125
192,10030.33203125
193,10030.33203125
194,10030.33203125
195,10030.33203125
196,10030.33203125
197,10030.33203125
198,10030.33203125
199,10030.33203125
